id_usuario,usuario,total_receitas,total_despesas,saldo,valor_objetivo,valor_atual,percentual_meta,status_meta,cluster
27,Giovana Pereira Costa,1250.0,145.8,1104.2,7000.0,3500.0,50.0,EM_ANDAMENTO,0
28,Hugo Mendes Alves,760.0,119.9,640.1,6000.0,2000.0,33.33,EM_ANDAMENTO,0
29,Julia Rodrigues Santos,1800.0,310.0,1490.0,4000.0,4000.0,100.0,CONCLUIDA,3
30,Leonardo Fernandes Melo,3950.0,250.0,3700.0,20000.0,7500.0,37.5,EM_ANDAMENTO,2
31,Manuela Gomes Rocha,980.0,480.25,499.75,15000.0,5000.0,33.33,EM_ANDAMENTO,0
32,Nicolas Oliveira Lima,350.0,450.0,-100.0,2000.0,800.0,40.0,EM_ANDAMENTO,0
33,Olivia Ribeiro Souza,2900.0,315.0,2585.0,9000.0,3000.0,33.33,EM_ANDAMENTO,2
34,Pedro Henrique Costa,1250.0,84.9,1165.1,6000.0,2200.0,36.67,EM_ANDAMENTO,0
35,Quezia Almeida Santos,210.6,69.9,140.7,7000.0,2500.0,35.71,EM_ANDAMENTO,0
36,Ricardo Martins Alves,4600.0,240.0,4360.0,12000.0,3500.0,29.17,EM_ANDAMENTO,2
37,Sofia Carvalho Rocha,640.0,280.0,360.0,5500.0,5500.0,100.0,CONCLUIDA,3
38,Tomas Ferreira Lima,480.3,32.5,447.8,11000.0,2800.0,25.45,EM_ANDAMENTO,0
39,Valentina Gomes Costa,3400.0,920.0,2480.0,10000.0,3200.0,32.0,EM_ANDAMENTO,2
40,William Barbosa Silva,550.0,190.0,360.0,18000.0,6000.0,33.33,EM_ANDAMENTO,0
41,Yasmin Castro Alves,3800.0,550.7,3249.3,25000.0,7000.0,28.0,EM_ANDAMENTO,2
42,Arthur Nunes Souza,920.0,195.0,725.0,5000.0,1800.0,36.0,EM_ANDAMENTO,0
43,Bianca Martins Costa,390.45,110.0,280.45,60000.0,12000.0,20.0,EM_ANDAMENTO,0
44,Cesar Rodrigues Lima,4300.0,1550.0,2750.0,8000.0,3000.0,37.5,EM_ANDAMENTO,1
45,Debora Fernandes Rocha,760.0,225.6,534.4,35000.0,9000.0,25.71,EM_ANDAMENTO,0
46,Enzo Pereira Alves,1300.0,640.35,659.65,10000.0,4000.0,40.0,EM_ANDAMENTO,0
47,Flavia Mendes Santos,1250.0,138.5,1111.5,4500.0,1500.0,33.33,EM_ANDAMENTO,0
48,Gustavo Oliveira Melo,3200.0,114.9,3085.1,6500.0,2500.0,38.46,EM_ANDAMENTO,2
49,Helena Ribeiro Lima,610.0,220.0,390.0,6000.0,2000.0,33.33,EM_ANDAMENTO,0
50,Igor Carvalho Souza,1050.0,240.0,810.0,13000.0,3500.0,26.92,EM_ANDAMENTO,0
